image_id,x_min,y_min,x_max,y_max
809d816dd,992,4,1023,68
809d816dd,318,879,321,881
809d816dd,628,698,672,743
809d816dd,546,444,604,497
809d816dd,564,553,602,634
809d816dd,178,320,264,373
809d816dd,539,102,612,175
8e1543437,0,0,3,6
c3fa071f6,0,0,15,4
666e0a853,976,791,1019,819
666e0a853,970,68,976,70
b2f2a5dfd,774,35,826,116
6284044ed,0,230,37,326
6284044ed,0,230,37,326
6284044ed,435,0,482,72
6284044ed,833,203,914,290
b6ab77fd7,35,541,81,587
b6ab77fd7,292,930,335,976
b6ab77fd7,663,794,779,858
b6ab77fd7,216,440,262,460
b6ab77fd7,959,86,982,900
b6ab77fd7,223,319,264,362
b6ab77fd7,121,712,208,765
b6ab77fd7,287,794,356,868
b6ab77fd7,200,654,239,688
b6ab77fd7,208,652,276,736
b6ab77fd7,168,187,258,230
b6ab77fd7,232,565,291,656
b6ab77fd7,800,442,880,547
b6ab77fd7,840,456,974,636
b6ab77fd7,333,124,377,170
91c9d9c38,124,273,183,346
91c9d9c38,181,620,266,676
91c9d9c38,314,828,363,910
91c9d9c38,77,717,140,815
91c9d9c38,283,819,332,854
91c9d9c38,1,0,76,44
41c0123cc:0,15,368,410
41c0123cc,59,185,124,231
41c0123cc,311,164,338,208
c682d8c66,400,421,424,451
e46378032,24,724,76,806
71fd03d51,99,0,173,35
71fd03d51,0,947,97,1024
71fd03d51,247,452,346,514
71fd03d51,174,35,243,83
1bda74f14,23,949,142,1023
1bda74f14,74,851,162,888
4a3f67d2e,287,905,354,948
895420d9f,83,257,181,324
8d6bb70e5,441,931,482,983
8d6bb70e5,1,8,65,38
4aeb37788,262,202,296,248
5738fcf14,786,681,842,725
31a6e55f2,26,865,81,937
ca4cb597b,0,616,92,682
4e5c1078d,620,931,718,990
29e44e305,863,902,931,972
43e3ccd92,46,953,140,1007
43e3ccd92,203,867,291,930
a22cdd5eb,88,960,149,1024
a22cdd5eb,335,820,378869
a22cdd5eb,627,887,672,922
480c01244,659,265,703,321
480c01244,967,489,1024,546
8b558e9e3,0,470,50,540
b13f38e6f,666,79,726,109
c73f0a714,520,52,579,123
e99cca2a3,217,935,350,1005
e99cca2a3,519,886,567,933
999d9d27d,8,651,58,690
999d9d27d,0,702,48,730
999d9d27d,752,255,789,301
005b0d8bb,1,399,81,507
556c18af4,339,988,498,1024
43a765c3e,819,419,902,593
d7d200c0b,84,1020,305,1024
e91d7c41b,176,728,242,784
4c5dc3f2b,0,922,28,1024
8302fe8b8,603,344,647,401
ab8fa9772,670,958,738,1024
88dc94b76,430,434,459,491
684a2c62a,218,615,291,737
684a2c62a,525,65,581,196
bc226ebfd,95,691,159,848
f1d20d58a,543,444,619,519
f1d20d58a,643,158,743,268
1def04f70,0,842,32,962
be11c4e40,516,462,649,541
3edfa2df0,0,0,86,8
1a13195b8,0,1020,55,1024
1e9ff110c,697,0,871,72
572a469e9,862,1020,951,1024
7d6cc4b2a,863,0,972,56
71b460a14,175,0,271,2
71b460a14,960,0,1024,2
4b4639da9,0,20,2,150
d781b9195,0,0,103,2
2cc952ee8,0,202,2,322
e9ebaec07,980,673,1024,762
e9ebaec07,127,0,205,35
e9ebaec07,671,6,728,57
93abe3225,657,162,714,206
809d816dd,539,102,612,175
eb3cffc94,591,10,645,62
eb3cffc94,638,0,685,40
eb3cffc94,978,187,1024,253
eb3cffc94,591,258,629,309
4c24f7168,753,929,825,996
4c24f7168,698,683,775,736
fe3f956a2,19,86,95,121
4e02ed1d3,656,947,800,997
4e02ed1d3,16,985,199,1024
4e02ed1d3,151,118,286,183
147830115,296,1,344,78
03a242bd2,658,0,735,58
8f796ab69,0,0,62,14
59dbb2e28,962,0,1024,83
443cc36d2,381,0,466,41
443cc36d2,199,105,274,172
443cc36d2,423,201,524,255
58ce0381b,125,108,222,218
ae5132628,794,622,868,754
ae5132628,645,979,754,1024
a94964eda,274,872,310,904
a94964eda,985,845,1023,916
61bcac952,0,0,32,7
a1da0dfe1,0,0,12,39
752ae9486,0,1009,38,1024
58cef5c6c,0,88,22,165
a44424f39,258,0,352,28
4ae7a034a,990,0,1024,181
bb67d5c2e,0,843,26,1010
0a97d54ae,0,0,11,7
152800a47,0,186,19,314
b33ff76a8,0,0,25,82
4e0cf51fd,0,796,22,877
aa457091c,0,559,18,651
aa457091c,323,0,419,15
744ea960b,0,59,19,135
68fa4a555,0,826,25,901
609c993a9,0,725,22,858
dc8b73725,1009,192,1024,291
dc8b73725,351,989,442,1024
20a86a215,116,896,171,963
dc6ca8430,247,1009,335,1024
b1b1b8fba,297,0,376,17
b1b1b8fba,0,350,23,442
b1b1b8fba,867,0,944,23
b1b1b8fba,1004,98,1024,179
8f54c057d,1008,216,1024,324
8f54c057d,221,0,321,18
8f54c057d,726,0,833,16
da0c40152,0,904,31,983
da0c40152,320,361,352,396
4f9eceb2b,633,1000,728,1024
530a756df,0,72,24,140
4341d37a9,103,0,167,30
4341d37a9,172,0,245,15
4341d37a9,0,0,32,55
2c3d40735,1008,0,1024,19
2c3d40735,304,418,355,478
966c3ebc6,314,0,396,18
6d1c9f629,0,691,34,777
6d1c9f629,0,909,28,1003
838e29709,0,5,28,129
838e29709,0,256,24,329
56ace8298,618,0,718,43
f24ebcdef,0,557,13,640
03cae970d,0,1006,96,1024
6d34eb3b2,964,0,1024,23
03ad2a35c,914,0,996,25
ed88cccdc,569,980,683,1024
fde56a455,709,0,754,13
5f3d068f1,0,844,18,912
87c6acaae,265,880,319,938
3e9bf50b6,145,0,193,11
b0833ce3d,0,44,27,180
4af27998f,554,1011,635,1024
38dc44b85,0,639,18,714
8b12ac747,1003,595,1024,717
ac8eb0616,516,1011,581,1024
147706d0f,0,0,41,21
f165314f1,0,891,15,976
55deda461,683,1010,777,1024
19c242397,357,3,459,126
d1931b6bd,935,797,1013,841
e2caa2ca7,373,1021,458,1024
5834f6ee5,483,1021,588,1024
d96205316,479,813,692,842
c936df99a,28,827,35,907
5b36bb79a,2,1021,107,1024
68561559e,760,1021,862,1024
f3d0759c8,919,1018,1016,1024
9c832432c,46,1021,163,1024
a30ad4024,547,0,647,5
c1bea7def,1018,0,1024,35
9140498c3,791,0,860,2
cadb3740d,0,729,5,791
b35fb3de5,412,0,499,2
f5f5a9d30,499,677,550,726
3db94deb2,0,204,5,256
382bf4ed7,0,793,2,893
5e182e37e,0,309,2,366
03d831c0d,0,0,64,2
b46dce732,15,769,83,827
cf483de89,1010,781,1024,863
bb3df77ab,952,0,1013,13
bb3df77ab,1008,894,1024,964
bb3df77ab,952,0,1013,13
bb3df77ab,1008,894,1024,964
0e0809a3d,494,1021,586,1024
44fb6b8b2,12,1021,112,1024
340ac8d52,217,1021,337,1024
47b0d504c,481,1021,660,1024
bd20bc5c9,547,1021,698,1024
3f8f6b1a1,0,79,2,176
31eb0625d,156,0,222,5
ea89a7320,1016,10,1024,79
0787635a2,1018,855,1024,1003
0dc2de69d,629,0,747,5
375a4795b,785,0,847,5
7a9d1d1f2,683,0,760,5
1b5e821f9,668,0,752,2
411d24167,514,0,601,2
920d0cdad,0,476,2,545
920d0cdad,0,593,2,670
291fb66d1,0,97,2,181
5041b4b98,839,0,949,2
5041b4b98,0,486,5,568
893938464,0,289,2,373
